month,obd_ssa_filled_mm,gmsl_scientific_mm,barystatic_scientific_mm,steric_scientific_mm,budget_sum_scientific_mm,panel_a_gmsl_unshifted_mm,panel_a_gmsl_display_mm,panel_a_barystatic_unshifted_mm,panel_a_barystatic_display_mm,panel_a_steric_unshifted_mm,panel_a_steric_display_mm,panel_a_budget_sum_unshifted_mm,panel_a_budget_sum_display_mm,panel_b_gmsl_unshifted_mm,panel_b_gmsl_display_mm,panel_b_barystatic_unshifted_mm,panel_b_barystatic_display_mm,panel_b_steric_unshifted_mm,panel_b_steric_display_mm,panel_b_budget_sum_unshifted_mm,panel_b_budget_sum_display_mm
2013-11,0.4601457546356244,63.13147011284758,18.28363855884177,-4.713160917162895,13.570477641678874,,,,,,,,,,,,,,,,
2013-12,0.7136047683446338,59.463103928629366,9.142564521781805,-3.7101502530276775,5.432414268754128,-20.679419679713305,-20.679419679713305,-10.251890497278644,-24.251890497278644,-7.2467873396817595,-29.24678733968176,-17.4986778369604,-17.4986778369604,-3.4227337321967704,-3.4227337321967704,-1.197848629678481,-6.1978486296784805,0.7341377761502571,-10.265862223849743,-0.46371085352822383,-0.46371085352822383
2014-01,1.132918379723332,58.623292657207344,2.6188568995396713,-3.209216520190239,-0.5903596206505677,-19.957297279830104,-19.957297279830104,-11.232819942172272,-25.23281994217227,-7.932932832332109,-29.93293283233211,-19.16575277450438,-19.16575277450438,-2.9704192062167043,-2.9704192062167043,-2.32034720406683,-7.32034720406683,-0.07678855213842235,-11.076788552138423,-2.3971357562052513,-2.3971357562052513
2014-02,1.4018163601985694,60.98298450661921,4.81258550578096,-1.721014268696308,3.0915712370846515,-18.990515100361527,-18.990515100361527,-11.188489707192252,-25.188489707192254,-8.57218713722294,-30.57218713722294,-19.76067684441519,-19.76067684441519,-2.2675822827013903,-2.2675822827013903,-2.4145292646962067,-7.414529264696206,-0.8381108307461922,-11.838110830746192,-3.2526400954423984,-3.2526400954423984
2014-03,1.6234807977195596,60.98574766057207,5.173581843468175,0.8579067653045058,6.031488608772681,-18.938001709936565,-18.938001709936565,-10.050674201142561,-24.050674201142563,-8.547072958621852,-30.547072958621854,-18.597747159764413,-18.597747159764413,-2.4790018145324315,-2.4790018145324315,-1.4151336570848496,-6.41513365708485,-0.935065672256961,-11.935065672256961,-2.35019932934181,-2.35019932934181
2014-04,1.6571473897484224,57.88426419584815,5.667326969765223,2.992606023326516,8.65993299309174,-20.116514509917415,-20.116514509917415,-11.271920240474747,-25.27192024047475,-8.19127483886074,-30.191274838860743,-19.463195079335488,-19.463195079335488,-3.9185285614913625,-3.9185285614913625,-2.773363575083641,-7.773363575083641,-0.6999790952519777,-11.699979095251978,-3.4733426703356183,-3.4733426703356183
2014-05,1.62192263705858,55.349447995246756,3.241967650779723,2.5014211423695087,5.743388793149231,-20.939939084972767,-20.939939084972767,-11.30020971133385,-25.30020971133385,-7.473285317466821,-29.47328531746682,-18.77349502880067,-18.77349502880067,-5.011756899217432,-5.011756899217432,-2.943191376380443,-7.943191376380443,-0.10677075829469437,-11.106770758294694,-3.049962134675136,-3.049962134675136
2014-06,1.1696132660789882,56.12001448354807,13.202100119985387,-0.4133742477279156,12.788725872257471,-20.74415085328531,-20.74415085328531,-12.041127492611382,-26.04112749261138,-7.302271352576402,-29.3022713525764,-19.34339884518778,-19.34339884518778,-5.082845232458171,-5.082845232458171,-3.824149870210035,-8.824149870210036,-0.05918119808191056,-11.05918119808191,-3.8833310682919446,-3.8833310682919446
2014-07,0.9574191709211265,60.12635055102324,19.123235460767905,-4.895798861980438,14.227436598787467,-20.37965274171234,-20.37965274171234,-10.61435979127461,-24.61435979127461,-7.214184944380329,-29.214184944380328,-17.82854473565494,-17.82854473565494,-4.988150883556166,-4.988150883556166,-2.5389204993110916,-7.538920499311091,-0.09587597432258571,-11.095875974322587,-2.634796473633677,-2.634796473633677
2014-08,0.6019237679152614,62.97189609546292,24.487268789298145,-7.073814515024424,17.41345427427372,-20.356355191481686,-20.356355191481686,-10.963021566286898,-24.963021566286898,-7.6360429507489735,-29.636042950748973,-18.59906451703587,-18.59906451703587,-5.2346612072286485,-5.2346612072286485,-3.0291514038181035,-8.029151403818103,-0.6425148163295606,-11.64251481632956,-3.671666220147663,-3.671666220147663
2014-09,0.3023488477599929,65.58033157660464,22.943009211601787,-6.156721152365208,16.78628805923658,-20.62287933022933,-20.62287933022933,-10.372846041423259,-24.37284604142326,-7.581953589220629,-29.58195358922063,-17.954799630643887,-17.954799630643887,-5.770993219879428,-5.770993219879428,-2.5805450084491826,-7.5805450084491826,-0.7132062904395469,-11.713206290439548,-3.293751298888729,-3.293751298888729
2014-10,0.2986966209894727,67.16342281438152,22.01412826721192,-4.7651007771492,17.24902749006272,-19.592627723249024,-19.592627723249024,-10.633873348636905,-24.633873348636904,-7.858429674921684,-29.858429674921684,-18.49230302355859,-18.49230302355859,-5.010545375569838,-5.010545375569838,-2.983110646100533,-7.983110646100533,-1.1144635605772373,-12.114463560577237,-4.09757420667777,-4.09757420667777
2014-11,0.3912066244540281,65.94654806821445,15.174333288533688,-6.269372068345547,8.904961220188142,-17.981821543308058,-17.981821543308058,-9.763723275155511,-23.763723275155513,-7.364205928531715,-29.364205928531714,-17.127929203687223,-17.127929203687223,-3.6666157605570713,-3.6666157605570713,-2.2530012851711967,-7.253001285171196,-0.7436642188649026,-11.743664218864902,-2.9966655040360983,-2.9966655040360983
2014-12,0.5480344613198802,64.79548793238389,10.755151709551887,-3.256847383454442,7.498304326097445,-16.045872112304497,-16.045872112304497,-8.373348434250147,-22.373348434250147,-7.59832831681706,-29.59832831681706,-15.971676751067207,-15.971676751067207,-2.0004700922242296,-2.0004700922242296,-1.0041647747035345,-6.0041647747035345,-1.1025677915868832,-12.102567791586884,-2.1067325662904155,-2.1067325662904155
2015-01,0.661622644088675,64.37647340031236,9.751201171163162,-3.160931169986725,6.590270001176437,-14.19537828398253,-14.19537828398253,-5.8221546562964415,-19.82215465629644,-7.198103370848746,-29.198103370848745,-13.020258027145188,-13.020258027145188,-0.4197841378053979,-0.4197841378053979,1.4054598737554491,-3.594540126244551,-0.8271236812568998,-11.8271236812569,0.5783361924985522,0.5783361924985522
2015-02,0.8791822287617008,67.18317674730238,12.299649904014878,-0.0181141040229704,12.281535799991907,-12.329062366120192,-12.329062366120192,-4.619998681023025,-18.619998681023027,-6.608443584065587,-28.608443584065586,-11.228442265088612,-11.228442265088612,1.1825865241036781,1.1825865241036781,2.46910355341947,-2.53089644658053,-0.35953186819067917,-11.359531868190679,2.109571685228792,2.109571685228792
2015-03,1.048579677291379,69.01673287950788,10.259646252118445,4.997951909899712,15.257598162018157,-10.653587950501285,-10.653587950501285,-3.834553118505158,-17.83455311850516,-5.530055494807929,-27.53005549480793,-9.364608613313086,-9.364608613313086,2.594128017466581,2.594128017466581,3.1161292174990036,-1.8838707825009964,0.5967872009551236,-10.403212799044876,3.712916418454128,3.712916418454128
2015-04,1.1485103776489023,68.506328014535,11.742561410793243,6.200713105499744,17.943274516292988,-9.916424223886432,-9.916424223886432,-3.862252297418113,-17.862252297418113,-4.485006532349595,-26.485006532349594,-8.34725882976771,-8.34725882976771,3.070277797103354,3.070277797103354,2.9514461599194446,-2.0485538400805554,1.521124620657327,-9.478875379342673,4.4725707805767705,4.4725707805767705
2015-05,0.9938286118276205,67.29666981571704,14.309672630271336,6.272073835134506,20.581746465405843,-9.666284955628285,-9.666284955628285,-3.2859520246170244,-17.285952024617025,-4.472574779576848,-26.47257477957685,-7.758526804193874,-7.758526804193874,3.0506133026907847,3.0506133026907847,3.3862081022828323,-1.6137918977171677,1.4087751889934388,-9.591224811006562,4.79498329127627,4.79498329127627
2015-06,0.7452937816041145,67.37169123242438,20.101933759616227,1.6099975910037756,21.711931350620002,-8.977144407212913,-8.977144407212913,-3.4396434237732687,-17.43964342377327,-3.8916649985670424,-25.89166499856704,-7.331308422340313,-7.331308422340313,3.472877286177957,3.472877286177957,3.092475990574528,-1.907524009425472,1.8662605653256101,-9.13373943467439,4.9587365559001375,4.9587365559001375
2015-07,0.4172071037574058,72.22847131989383,26.96014904815979,-0.4580043314490467,26.502144716710742,-8.379381468226034,-8.379381468226034,-2.9556130303004604,-16.955613030300462,-3.052250867106275,-25.052250867106274,-6.007863897406736,-6.007863897406736,3.800836462493875,3.800836462493875,3.434968053609508,-1.565031946390492,2.5808935123496295,-8.419106487650371,6.015861565959138,6.015861565959138
2015-08,-0.03509208917149678,75.61891239817494,32.72676184519787,-1.0491786524653437,31.677583192732527,-7.020571950694329,-7.020571950694329,-2.2465074880804923,-16.246507488080493,-2.092113450282451,-24.09211345028245,-4.338620938362943,-4.338620938362943,4.889838106122444,4.889838106122444,4.002504466334754,-0.997495533665246,3.4162500935351225,-7.5837499064648775,7.418754559869878,7.418754559869878
2015-09,-0.3982955211075413,80.8385442273841,33.0161448029294,0.0126369559438899,33.028781758873286,-6.371946484552013,-6.371946484552013,-2.1236741496301828,-16.123674149630183,-1.9735524395152675,-23.973552439515267,-4.09722658914545,-4.09722658914545,5.268655698361623,5.268655698361623,3.9837686752903414,-1.0162313247096586,3.4100302686639767,-7.589969731336023,7.3937989439543195,7.3937989439543195
2015-10,-0.40311414879897045,82.01099239792198,28.449015295363807,-0.1338912989012897,28.315123996462518,-4.787442069259703,-4.787442069259703,-2.6872372106825697,-16.687237210682568,-1.841254166995923,-23.841254166995924,-4.528491377678493,-4.528491377678493,6.583356350983217,6.583356350983217,3.278667283800254,-1.721332716199746,3.4175473567466854,-7.582452643253315,6.696214640546939,6.696214640546939
2015-11,-0.2337211254980538,80.25632279586249,22.506219082917198,0.9815868688747288,23.487805951791927,-4.476940228816044,-4.476940228816044,-2.8266485343233736,-16.826648534323375,-1.6739005317724536,-23.673900531772453,-4.500549066095828,-4.500549066095828,6.626981626498676,6.626981626498676,2.9992152476073897,-2.0007847523926103,3.46147658729252,-7.53852341270748,6.460691834899912,6.460691834899912
2015-12,0.0830951574807698,76.15278756467144,17.799603109512898,1.931900391355157,19.731503500868055,-3.8583379962359943,-3.8583379962359943,-2.270374439011396,-16.270374439011395,-1.331442375279342,-23.33144237527934,-3.601816814290738,-3.601816814290738,6.975892222980709,6.975892222980709,3.4140094765176667,-1.5859905234823333,3.6792054446862386,-7.320794555313761,7.093214921203905,7.093214921203905
2016-01,0.44942883233168845,75.2720013885823,13.683785962534893,3.2000199425965548,16.883805905131446,-3.817025457329745,-3.817025457329745,-1.386407836249658,-15.386407836249658,-1.9295680669363886,-23.92956806693639,-3.3159759031860445,-3.3159759031860445,6.747757452085387,6.747757452085387,4.156596048006657,-0.8434039519933432,2.9564656783473557,-8.043534321652643,7.113061726354014,7.113061726354014
2016-02,0.46196228649776444,76.06540760670326,14.629854172822489,4.237792920321226,18.867647093143717,-3.191480388535203,-3.191480388535203,-0.012567449517092802,-14.012567449517093,-1.9725155029983867,-23.972515502998387,-1.985082952515479,-1.985082952515479,7.107018973198485,7.107018973198485,5.390707355041003,0.39070735504100274,2.7903680591332054,-8.209631940866794,8.18107541417421,8.18107541417421
2016-03,0.5708056558159408,76.65171996459205,17.8191508864569,8.28887801617384,26.10802890263074,-3.25250188097473,-3.25250188097473,0.9239550679954758,-13.076044932004525,-2.4815879297613836,-24.481587929761382,-1.5576328617659065,-1.5576328617659065,6.779858286772266,6.779858286772266,6.187633214712373,1.1876332147123732,2.1582077571513536,-8.841792242848646,8.345840971863728,8.345840971863728
2016-04,0.7749511525699941,74.19236827862963,16.128377067149078,7.799282670021057,23.927659737170135,-4.277463884585345,-4.277463884585345,0.6469804456391821,-13.353019554360818,-3.246764895844866,-25.246764895844866,-2.5997844502056844,-2.5997844502056844,5.491672189109902,5.491672189109902,5.772524745641794,0.7725247456417943,1.2712963364048044,-9.728703663595196,7.043821082046597,7.043821082046597
2016-05,0.8671601335251247,70.89252348444151,15.892050568748934,5.097303073853254,20.98935364260219,-5.637325098186387,-5.637325098186387,-0.30405566198243045,-14.30405566198243,-4.814955554055897,-26.814955554055896,-5.119011216038328,-5.119011216038328,3.862744381588596,3.862744381588596,4.680337024332303,-0.31966297566769697,-0.4213345740449546,-11.421334574044955,4.259002450287347,4.259002450287347
2016-06,0.4706905693339513,70.17667687193098,23.079429252686577,0.1590564643265679,23.238485717013145,-7.517852397911317,-7.517852397911317,-1.466225933284883,-15.466225933284884,-5.901955980031441,-27.901955980031442,-7.368181913316325,-7.368181913316325,1.7160696878778852,1.7160696878778852,3.378508665375469,-1.621491334624531,-1.6314221795487431,-12.631422179548743,1.7470864858267252,1.7470864858267252
2016-07,0.08380129358879529,70.20550803956755,28.320528088076998,-3.8631653878837824,24.457362700193215,-9.485952559325781,-9.485952559325781,-2.9514613779915524,-16.951461377991553,-6.5155860519911535,-28.515586051991153,-9.467047429982706,-9.467047429982706,-0.5210970674568447,-0.5210970674568447,1.7521216069809211,-3.2478783930190787,-2.3694925037471837,-13.369492503747184,-0.6173708967662631,-0.6173708967662631
2016-08,-0.11977470601714675,71.51717676569538,28.401342269137036,-6.583082024008036,21.818260245129,-11.023032299205061,-11.023032299205061,-3.9116715500535424,-17.91167155005354,-6.315902126406207,-28.315902126406208,-10.227573676459748,-10.227573676459748,-2.327247501255933,-2.327247501255933,0.6507291063244611,-4.349270893675539,-2.2942484825556604,-13.29424848255566,-1.643519376231198,-1.643519376231198
2016-09,-0.39362119260730566,74.95586209465775,30.98569315315387,-3.719664644449949,27.266028508703922,-11.800127433478096,-11.800127433478096,-4.6781944258221,-18.6781944258221,-6.653567629903343,-28.653567629903343,-11.331762055725443,-11.331762055725443,-3.3734133294487774,-3.3734133294487774,-0.2569760980385687,-5.256976098038569,-2.7563538904462206,-13.75635389044622,-3.0133299884847884,-3.0133299884847884
2016-10,-0.3650978804687109,75.71086731634965,27.141325692624417,-4.907731898128986,22.23359379449543,-9.932365228833211,-9.932365228833211,-4.482833767301336,-18.482833767301337,-5.502596525096151,-27.502596525096152,-9.985430292397487,-9.985430292397487,-1.7747177187241574,-1.7747177187241574,-0.2027670532056829,-5.202767053205683,-1.7298230378777566,-12.729823037877757,-1.9325900910834393,-1.9325900910834393
2016-11,-0.15753218421775772,77.00436053144065,20.45757066557582,-1.4962980058044195,18.9612726597714,-8.514123305727821,-8.514123305727821,-4.166145220181689,-18.16614522018169,-4.80342678664866,-26.80342678664866,-8.969572006830349,-8.969572006830349,-0.6226231896045472,-0.6226231896045472,-0.02573659374041394,-5.025736593740414,-1.1537404789585106,-12.153740478958511,-1.1794770726989243,-1.1794770726989243
2016-12,0.08249944273303825,73.59332567993027,17.137451072018724,-0.2049528993666172,16.932498172652107,-7.472542217551582,-7.472542217551582,-4.964541152691221,-18.964541152691222,-3.014992136741057,-25.014992136741057,-7.979533289432278,-7.979533289432278,0.14977917807872607,0.14977917807872607,-0.9653426039738278,-5.965342603973828,0.5102020333731213,-10.48979796662688,-0.4551405706007054,-0.4551405706007054
2017-01,0.6363071114207668,70.24081287379853,8.312086276330971,2.7641088236123323,11.076195099943304,-8.582244755436898,-8.582244755436898,-4.632005082039931,-18.63200508203993,-2.9843570065912157,-24.984357006591217,-7.616362088631145,-7.616362088631145,-1.229354617827964,-1.229354617827964,-0.7741779601389803,-5.774177960138981,0.41623049817304575,-10.583769501826954,-0.35794746196593213,-0.35794746196593213
2017-02,0.7485777867682331,69.36040011190673,10.926914159149765,3.646190511062741,14.573104670212507,-9.178244061527101,-9.178244061527101,-4.890133374482107,-18.890133374482108,-2.9044006740591475,-24.904400674059147,-7.794534048541254,-7.794534048541254,-2.0891630261757617,-2.0891630261757617,-1.170747556146711,-6.170747556146711,0.3741818606120827,-10.625818139387917,-0.7965656955346279,-0.7965656955346279
2017-03,0.9098514843111494,70.42762495519665,12.261092811438504,6.520736031234264,18.781828842672766,-8.6534103249785,-8.6534103249785,-3.0475910037636322,-17.047591003763632,-3.241182770690296,-25.241182770690294,-6.288773774453929,-6.288773774453929,-1.8282622118831664,-1.8282622118831664,0.5333749161334291,-4.466625083866571,-0.08466925613092134,-11.08466925613092,0.4487056600025072,0.4487056600025072
2017-04,1.1567501800348492,70.91874545081025,13.474736940562872,7.880242541432381,21.35497948199525,-7.869210363923017,-7.869210363923017,-2.2999207288309464,-16.299920728830948,-3.2125471731309188,-25.21254717313092,-5.512467901961867,-5.512467901961867,-1.3050761978057641,-1.3050761978057641,1.1440613123995116,-3.8559386876004886,-0.17674520132767454,-11.176745201327675,0.9673161110718353,0.9673161110718353
2017-05,1.0027460615950532,69.61500188364327,15.263045246943149,6.887138355523348,22.150183602466498,-7.633966852209038,-7.633966852209038,-2.916344542270212,-16.916344542270213,-3.3115879028407633,-25.311587902840763,-6.2279324451109765,-6.2279324451109765,-1.3396364487625023,-1.3396364487625023,0.3860991685225455,-4.613900831477454,-0.4005671154741548,-11.400567115474155,-0.014467946951611143,-0.014467946951611143
2017-06,0.9749637577661648,68.73789603848064,18.525208060215224,2.798364264890552,21.323572325105776,-7.913568551886125,-7.913568551886125,-4.563464560364271,-18.56346456036427,-2.9874952694323533,-24.987495269432355,-7.550959829796626,-7.550959829796626,-1.886114713367788,-1.886114713367788,-1.4010615621235745,-6.401061562123575,-0.19989888674337924,-11.199898886743378,-1.6009604488669547,-1.6009604488669547
2017-07,0.43397124918384816,71.7346620118917,24.21203872111597,0.451073661679402,24.663112382795372,-7.608943539054575,-7.608943539054575,-5.959305489224714,-19.959305489224715,-2.915400833995646,-24.915400833995648,-8.87470632322036,-8.87470632322036,-1.851293463207198,-1.851293463207198,-2.9384408214218443,-7.938440821421844,-0.2525856357434203,-11.25258563574342,-3.191026457165265,-3.191026457165265
2017-08,0.019685278770527417,77.05783068763519,28.040520494869934,-2.7360732201486826,25.30444727472125,-6.893468604016978,-6.893468604016978,-6.337295956857329,-20.33729595685733,-3.226743514956483,-25.226743514956482,-9.56403947181381,-9.56403947181381,-1.4056264020727391,-1.4056264020727391,-3.4580004185491826,-8.458000418549183,-0.6887091523425876,-11.688709152342588,-4.146709570891769,-4.146709570891769
2017-09,-0.19822288175147723,80.27474528595803,28.178131073970643,-2.6134366635233164,25.564694410447327,-6.6568356682119605,-6.6568356682119605,-6.586736765462304,-20.586736765462305,-3.634567924812225,-25.634567924812224,-10.221304690274527,-10.221304690274527,-1.4388013401708566,-1.4388013401708566,-3.8490103566488796,-8.84901035664888,-1.2213143978366587,-12.22131439783666,-5.070324754485537,-5.070324754485537
2017-10,-0.14326940850840095,80.28120549890797,24.584082527154134,-0.8039695676416159,23.78011295951252,-5.3801735960384045,-5.3801735960384045,-6.799177820599617,-20.799177820599617,-3.4064979005382736,-25.406497900538273,-10.20567572113789,-10.20567572113789,-0.4319430306680188,-0.4319430306680188,-4.2029897422238935,-9.202989742223894,-1.1180255579993439,-12.118025557999344,-5.321015300223237,-5.321015300223237
