month,jpl_ocean_mass_reference_mm,jpl_ocean_mass_uncertainty_mean_mm,source_time_days,ocean_cell_count,original_jpl_ocean_mass_reference_mm,filled_jpl_ocean_mass_reference_mm,fill_status,ssa_category,ssa_M,ssa_K
2015-09,37.55784187825759,14.247251232296444,5004.5,121253,37.55784187825759,37.55784187825759,observed,observed,,
2015-10,nan,nan,nan,0,nan,32.5583638232695,filled,SSA-filling-a,24,10
2015-11,nan,nan,nan,0,nan,26.763942168836838,filled,SSA-filling-a,24,10
2015-12,19.320434717382504,14.59872514992845,5104.5,121253,19.320434717382504,19.320434717382504,observed,observed,,
2016-01,15.344231896725242,14.169700451264406,5128.5,121253,15.344231896725242,15.344231896725242,observed,observed,,
2016-02,16.79089227758833,13.698367649878165,5157.0,121253,16.79089227758833,16.79089227758833,observed,observed,,
2016-03,21.974522123093347,13.993063210570224,5188.5,121253,21.974522123093347,21.974522123093347,observed,observed,,
2016-04,nan,nan,nan,0,nan,18.73527054649508,filled,SSA-filling-a,24,10
2016-05,18.40325501563538,15.01379263450089,5253.0,121253,18.40325501563538,18.40325501563538,observed,observed,,
2016-06,26.963012191478292,14.57227628685982,5280.0,121253,26.963012191478292,26.963012191478292,observed,observed,,
2016-07,33.792997565139224,14.861762941805159,5309.5,121253,33.792997565139224,33.792997565139224,observed,observed,,
2016-08,31.494443843858527,15.983319455177705,5346.5,121253,31.494443843858527,31.494443843858527,observed,observed,,
2016-09,nan,nan,nan,0,nan,29.762027274075226,filled,SSA-filling-a,24,10
2016-10,nan,nan,nan,0,nan,26.09145318757933,filled,SSA-filling-a,24,10
2016-11,19.875247761450378,21.384913076972026,5444.5,121253,19.875247761450378,19.875247761450378,observed,observed,,
2016-12,17.12013106122842,21.35622771517037,5471.5,121253,17.12013106122842,17.12013106122842,observed,observed,,
2017-01,9.430019310726099,21.69795146399733,5499.0,121253,9.430019310726099,9.430019310726099,observed,observed,,
2017-02,nan,nan,nan,0,nan,13.589700653097003,filled,SSA-filling-a,24,10
2017-03,17.640405588073687,21.82753428448866,5568.5,121253,17.640405588073687,17.640405588073687,observed,observed,,
2017-04,16.887898311647245,21.59843251621051,5592.5,121253,16.887898311647245,16.887898311647245,observed,observed,,
2017-05,18.598713503191348,21.140275155557326,5610.5,121253,18.598713503191348,18.598713503191348,observed,observed,,
2017-06,25.72889322319992,21.85982041787272,5640.0,121253,25.72889322319992,25.72889322319992,observed,observed,,
2017-07,nan,nan,nan,0,nan,31.059726268192122,filled,SSA-filling-b,36,4
2017-08,nan,nan,nan,0,nan,32.900284551208856,filled,SSA-filling-b,36,4
2017-09,nan,nan,nan,0,nan,32.049480705251774,filled,SSA-filling-b,36,4
2017-10,nan,nan,nan,0,nan,28.728943154853088,filled,SSA-filling-b,36,4
2017-11,nan,nan,nan,0,nan,23.848323951916594,filled,SSA-filling-b,36,4
2017-12,nan,nan,nan,0,nan,18.732779003378827,filled,SSA-filling-b,36,4
2018-01,nan,nan,nan,0,nan,14.780917969470122,filled,SSA-filling-b,36,4
2018-02,nan,nan,nan,0,nan,13.082748606923927,filled,SSA-filling-b,36,4
2018-03,nan,nan,nan,0,nan,14.1458009434654,filled,SSA-filling-b,36,4
2018-04,nan,nan,nan,0,nan,17.751851171664036,filled,SSA-filling-b,36,4
2018-05,nan,nan,nan,0,nan,23.013997219257774,filled,SSA-filling-b,36,4
2018-06,23.42654155137732,14.519260621919566,6010.0,121253,23.42654155137732,23.42654155137732,observed,observed,,
2018-07,33.583666902443056,15.217725314562971,6034.0,121253,33.583666902443056,33.583666902443056,observed,observed,,
2018-08,nan,nan,nan,0,nan,36.444624850315634,filled,SSA-filling-a,24,10
2018-09,nan,nan,nan,0,nan,34.44836172871153,filled,SSA-filling-a,24,10
