month,c3s_equivalent_gmsl_mm,sio_thermosteric_mm,sio_halosteric_mm,sio_totalsteric_mm,dmi_hadisst,csr_ocean_mass_reference_mm,noaa_topex_poseidon_mm,noaa_jason_1_mm,noaa_jason_2_mm,noaa_jason_3_mm,noaa_sentinel_6mf_mm,original_csr_ocean_mass_reference_mm,filled_csr_ocean_mass_reference_mm,fill_status,ssa_category,ssa_M,ssa_K
2013-11,65.28404593940841,-4.317540675401688,-2.1466438192874193,-4.713160917162895,0.19900000095367432,12.385790932208174,nan,nan,40.453333333333326,nan,nan,12.385790932208174,12.385790932208174,observed,observed,,
2013-12,62.47729864881558,-2.2085867822170258,-3.254309995099902,-3.7101502530276775,0.14100000262260437,4.840682976888379,nan,nan,37.9625,nan,nan,4.840682976888379,4.840682976888379,observed,observed,,
2014-01,59.71125598327585,-2.7450858615338802,-2.214656909927726,-3.209216520190239,-0.10100000351667404,-1.9163398742057869,nan,nan,38.85333333333333,nan,nan,-1.9163398742057869,-1.9163398742057869,observed,observed,,
2014-02,58.04947121208662,-0.6977213197387755,-2.7732718735933304,-1.7210142686963081,-0.08900000154972076,nan,nan,nan,41.51666666666667,nan,nan,nan,-0.2903145165161689,filled,SSA-filling-a,24,10
2014-03,55.943632952747414,0.03354857108206488,-0.9278065990656614,0.8579067653045058,-0.1509999930858612,0.32772555927904956,nan,nan,41.62,nan,nan,0.32772555927904956,0.32772555927904956,observed,observed,,
2014-04,54.46394107937587,3.6613568663597107,-2.4220605846494436,2.992606023326516,-0.057999998331069946,0.7626511409978205,nan,nan,40.93333333333334,nan,nan,0.7626511409978205,0.7626511409978205,observed,observed,,
2014-05,53.86043845640658,2.9351257253438234,-2.1897254046052694,2.5014211423695087,-0.09200000017881393,-1.056062989988547,nan,nan,39.48666666666667,nan,nan,-1.056062989988547,-1.056062989988547,observed,observed,,
2014-06,54.819203163681024,0.41102839168161154,-2.5817628484219313,-0.41337424772791564,-0.02800000086426735,8.917392530886115,nan,nan,41.343333333333334,nan,nan,8.917392530886115,8.917392530886115,observed,observed,,
2014-07,58.594295613237755,-4.744684789329767,-1.9092096481472254,-4.895798861980438,-0.3630000054836273,nan,nan,nan,42.440000000000005,nan,nan,nan,15.631025258295004,filled,SSA-filling-a,24,10
2014-08,60.67747658306103,-7.853280752897263,-0.9718661895021796,-7.073814515024424,-0.3720000088214874,18.14400788093448,nan,nan,43.35666666666666,nan,nan,18.14400788093448,18.14400788093448,observed,observed,,
2014-09,65.72866408788703,-6.409186869859695,-1.498907571658492,-6.156721152365208,-0.14499999582767487,16.031630523412733,nan,nan,42.406666666666666,nan,nan,16.031630523412733,16.031630523412733,observed,observed,,
