phase,gmsl_delta_mm,barystatic_delta_mm,steric_delta_mm,sum_delta_mm
2014-2016,10.41915909353766,5.455194761568832,3.9499640284072877,9.40515878997612
2023-2024,8.953780900302593,7.572230928461885,2.816518460942661,10.388749389404545
