time,gmsl,barystatic,steric,oni,sum
2019-03-15,2.8107101344684553,0.8003973174893784,2.01720746331847,0.87,2.817604780807848
2019-04-15,2.84713667443863,0.6040411731768268,1.9398246460466018,0.82,2.5438658192234285
2019-05-15,3.104735003209143,0.7371124748768285,1.2670548615986679,0.71,2.004167336475496
2019-06-15,3.9683134669081377,1.8293902719946602,0.9815876419038688,0.59,2.810977913898529
2019-07-15,5.171455792750966,2.2161039115229295,1.0615938466099855,0.38,3.277697758132915
2019-08-15,5.752828457525567,2.1471017026832544,1.3265866723181388,0.2,3.473688375001393
2019-09-15,4.989682470741807,1.0201011178821524,1.0403230162188724,0.31,2.0604241341010248
2019-10-15,3.8915528092976497,0.7738396317680742,1.2110835735881578,0.51,1.984923205356232
2019-11-15,2.846940199890753,-0.30668191680819373,1.2873756113995163,0.72,0.9806936945913225
2019-12-15,1.483762063745857,-0.4367299383160379,2.2573186715908955,0.75,1.8205887332748576
2020-01-15,0.6209924854057647,-0.5200280564536174,1.9377527542351125,0.71,1.417724697781495
2020-02-15,0.012191976131887827,0.3797607064566412,1.5691283182943632,0.66,1.9488890247510042
2020-03-15,0.39075478283582754,-0.7019162571845308,1.0338232487913288,0.57,0.33190699160679804
2020-04-15,0.429954523153782,-1.1769979486410496,0.8073676627319142,0.33,-0.3696302859091354
2020-05-15,-0.15718656892723004,-1.383994789761728,0.7959784672923107,0.04,-0.5880163224694173
2020-06-15,-0.47642245726238264,0.4503331855443129,0.15347678664562783,-0.18,0.6038099721899407
2020-07-15,-0.911269270807523,1.0995918087934613,-0.989898500957526,-0.29,0.10969330783593534
2020-08-15,-1.1734035191657786,-0.9893389568478798,-1.6663820718448101,-0.43,-2.65572102869269
2020-09-15,-1.5163127211904452,-1.65455554543126,-1.7129801855253182,-0.77,-3.367535730956578
2020-10-15,-1.503895395030412,-1.0509190816097498,-1.4268692348880632,-1.0,-2.477788316497813
2020-11-15,-1.4746544705664015,1.0374118359658777,-1.4650490815210617,-1.11,-0.427637245555184
